timestamp,depth_m,pressure_kpa,u
0.0,0.507,101.29,0.3031
0.2,0.54,101.59,0.2903
0.4,0.603,102.26,0.2934
0.6,0.649,102.67,0.2872
0.8,0.693,103.11,0.2832
1.0,0.794,103.99,0.2603
1.2,0.862,104.76,0.2594
1.4,0.964,105.71,0.2566
1.6,1.068,106.72,0.2465
1.8,1.19,108.01,0.2377
2.0,1.273,108.74,0.2198
2.2,1.394,109.96,0.2176
2.4,1.509,111.04,0.1975
2.6,1.651,112.47,0.1877
2.8,1.765,113.58,0.1728
3.0,1.901,114.88,0.1589
3.2,2.009,115.99,0.1555
3.4,2.135,117.23,0.1411
3.6,2.267,118.55,0.1453
3.8,2.385,119.57,0.1304
4.0,2.507,120.81,0.1163
4.2,2.6,121.71,0.1049
4.4,2.743,123.06,0.0897
4.6,2.837,124.08,0.1021
4.8,2.914,124.82,0.0705
5.0,3.024,125.93,0.0715
5.2,3.136,126.99,0.0724
5.4,3.212,127.75,0.0748
5.6,3.29,128.41,0.0629
5.8,3.369,129.28,0.0603
6.0,3.393,129.53,0.0463
6.2,3.45,130.1,0.0453
6.4,3.504,130.6,0.0529
6.6,3.557,131.13,0.0426
6.8,3.592,131.4,0.0456
7.0,3.61,131.61,0.0437
7.2,3.621,131.79,0.0424
7.4,3.635,131.85,0.0282
7.6,3.64,131.98,0.0351
7.8,3.624,131.68,0.0453
8.0,3.614,131.71,0.0429
8.2,3.615,131.66,0.043
8.4,3.581,131.31,0.0467
8.6,3.55,131.03,0.0494
8.8,3.519,130.82,0.0524
9.0,3.471,130.23,0.0498
9.2,3.419,129.72,0.0616
9.4,3.372,129.15,0.0711
9.6,3.297,128.57,0.0657
9.8,3.254,128.16,0.066
10.0,3.192,127.65,0.07
10.2,3.128,126.89,0.0745
10.4,3.054,126.03,0.0822
10.6,2.982,125.41,0.0935
10.8,2.917,124.88,0.098
11.0,2.865,124.31,0.0869
11.2,2.772,123.47,0.1056
11.4,2.674,122.38,0.1131
11.6,2.644,122.17,0.1022
11.8,2.582,121.56,0.1148
12.0,2.51,120.85,0.1208
12.2,2.453,120.28,0.1305
12.4,2.405,119.87,0.1213
12.6,2.308,118.91,0.1327
12.8,2.256,118.3,0.1393
13.0,2.181,117.59,0.1425
13.2,2.136,117.26,0.133
13.4,2.11,116.89,0.1535
13.6,2.057,116.47,0.1403
13.8,2.037,116.31,0.1441
14.0,1.994,115.71,0.1503
14.2,1.968,115.53,0.1525
14.4,1.929,115.25,0.157
14.6,1.89,114.86,0.1625
14.8,1.901,114.87,0.1554
15.0,1.882,114.73,0.1578
15.2,1.878,114.56,0.1559
15.4,1.851,114.45,0.1464
15.6,1.859,114.49,0.1537
15.8,1.868,114.65,0.1574
16.0,1.865,114.62,0.1626
16.2,1.896,114.89,0.1515
16.4,1.868,114.48,0.148
16.6,1.922,115.1,0.1459
16.8,1.928,115.13,0.1517
17.0,1.957,115.45,0.1611
17.2,1.987,115.73,0.1547
17.4,1.995,115.88,0.1436
17.6,2.022,116.14,0.1415
17.8,2.085,116.74,0.1431
18.0,2.113,116.89,0.134
18.2,2.14,117.21,0.1445
18.4,2.175,117.5,0.1322
18.6,2.223,118.07,0.1276
18.8,2.236,118.14,0.1344
19.0,2.281,118.6,0.1347
19.2,2.317,118.98,0.1229
19.4,2.378,119.6,0.1307
19.6,2.431,120.15,0.1259
19.8,2.47,120.36,0.1247
20.0,2.511,120.85,0.1279
20.2,2.531,120.97,0.1298
20.4,2.578,121.47,0.1309
20.6,2.615,121.87,0.126
20.8,2.646,122.14,0.1185
21.0,2.669,122.45,0.1133
21.2,2.698,122.64,0.109
21.4,2.721,122.92,0.1143
21.6,2.74,123.23,0.1027
